BeerID,Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,SugarScale,BrewMethod
18351,Liberty Cream Ale,Irish Cream Ale,18.93,1.043,1.008,4.59,11.13,8.29,24.61,60,1.033,35.0,Specific Gravity,extract
18369,Orval Clone,Irish Pale Ale,30.28,1.056,1.013,5.67,39.0,8.96,26.5,60,1.064,35.0,Specific Gravity,extract
18397,Dry Roast Stout,Irish Dry Stout,18.5,1.042,1.01,4.25,39.62,35.63,28.5,60,1.0270000000000001,76.0,Specific Gravity,All Grain
18437,Belgian Pale,Irish Pale Ale,20.82,1.045,1.01,4.6,16.37,12.08,26.5,60,1.036,73.0,Specific Gravity,All Grain
18444,75 Phat Tyre amber ale,Irish Pale Ale,18.93,1.061,1.012,6.5,42.79,11.16,9.46,60,1.022,35.0,Specific Gravity,extract
18454,Belgian Pale Ale - 80CR,Irish Pale Ale,20.82,1.054,1.012,5.48,26.78,7.11,26.5,60,1.043,35.0,Specific Gravity,extract
18457,Wallaby,Irish Pale Ale,20.82,1.053,1.014,5.07,0.0,4.62,26.5,90,1.042,75.0,Specific Gravity,All Grain
18476,Sams Vienna Lager,Irish Lager,20.82,1.051,1.013,5.05,26.15,10.19,28.39,60,1.038,75.0,Specific Gravity,All Grain
18477,SACCHAROMYCES RED IRISH ALE 75 L,Irish Red Ale,75.0,1.048,1.008,5.3,23.14,17.18,81.0,60,1.045,82.0,Specific Gravity,All Grain
18499,Bruna,Irish Red Ale,40.0,1.056,1.014,5.47,12.97,16.62,53.0,60,1.042,70.0,Specific Gravity,All Grain
18500,RAGING RED IRISH ALE,Irish Red Ale,75.0,1.052,1.0090000000000001,5.71,32.93,10.77,81.0,60,1.048,80.0,Specific Gravity,All Grain
18504,Belgian pale ale,Irish Pale Ale,23.0,1.054,1.016,4.9,33.82,8.31,28.0,90,1.044,70.0,Specific Gravity,BIAB
18551,Jefito Modelo,Irish Lager,18.93,1.062,1.02,5.5,26.27,12.07,24.61,90,1.048,75.0,Specific Gravity,Partial Mash
18562,Lager Massone,Irish Lager,23.0,1.05,1.014,4.68,20.99,4.73,12.0,90,1.095,75.0,Specific Gravity,Partial Mash
18601,Violent Vienna Lager,Irish Lager,18.93,1.053,1.013,5.2,20.78,9.34,28.39,90,1.035,60.0,Specific Gravity,All Grain
18614,Ol' Blue,Irish Red Ale,3.79,1.054,1.011,5.63,27.25,16.14,4.73,60,1.043,75.0,Specific Gravity,All Grain
18677,Pre-Prohibition Cream Ale,Irish Cream Ale,24.61,1.0490000000000002,1.008,5.33,18.87,2.97,32.18,90,1.037,70.0,Specific Gravity,All Grain
18695,Irish Setter Red Ale,Irish Red Ale,18.93,1.057,1.015,5.53,15.59,14.35,28.39,60,1.038,70.0,Specific Gravity,All Grain
